data_referencia;cod_ibge;txt_municipio;txt_uf;txt_regiao;cod_empreendimento;txt_nome_empreendimento;txt_af;txt_modalidade;dt_assinatura_contrato;data_nascimento;txt_sexo;Estado Civil;Tipo de Beneficiário;vr_garantia_inicial;vr_subsidio_concessao;vr_renda_familiar_comprovada
17/10/2018;397036;Rio de Janeiro;RJ;Sudeste;FAR-1412-RJ;Conjunto Habitacional FAR-1412-RJ;Banco do Brasil;MCMV-Entidades;26/01/2024;19/05/1985;Masculino;viúvo;Não aplicável;R$ 57.271,00;R$ 42.766,00;R$ 1.728,00
04/03/2021;172935;São Paulo;SP;Sudeste;FAR-1413-SP;Condomínio FAR-1413-SP;Caixa Econômica Federal;MCMV-FAR;21/05/2023;06/07/1998;Feminino;solteiro;Pescadores artesanais;R$ 60.225,00;R$ 40.904,00;R$ 1.544,00
26/03/2021;645057;Salvador;BA;Nordeste;FAR-1414-BA;Conjunto Habitacional FAR-1414-BA;Caixa Econômica Federal;MCMV-FAR;30/04/2023;18/04/1999;Masculino;viúvo;Indigena;R$ 69.077,00;R$ 41.137,00;R$ 1.851,00
11/05/2023;329891;Salvador;BA;Nordeste;FAR-1415-BA;Conjunto Habitacional FAR-1415-BA;Caixa Econômica Federal;MCMV-FAR;07/08/2023;12/01/2000;Feminino;divorciado;Assentados do PNRA;R$ 82.860,00;R$ 42.948,00;R$ 4.348,00
04/05/2021;460218;São Paulo;SP;Sudeste;FAR-1416-SP;Condomínio FAR-1416-SP;Banco do Nordeste;MCMV-FAR;09/06/2023;02/07/2006;Masculino;divorciado;Quilombolas;R$ 77.930,00;R$ 42.229,00;R$ 3.240,00
28/10/2017;360043;São Paulo;SP;Sudeste;FAR-1417-SP;Conjunto Habitacional FAR-1417-SP;Banco do Brasil;MCMV-FAR;13/01/2025;01/08/1995;Feminino;separado;Extravista;R$ 71.096,00;R$ 46.715,00;R$ 1.512,00
12/06/2019;503834;Rio de Janeiro;RJ;Sudeste;FAR-1418-RJ;Condomínio FAR-1418-RJ;Banco do Nordeste;MCMV-Entidades;15/02/2025;28/01/1996;Masculino;divorciado;Indigena;R$ 84.469,00;R$ 47.324,00;R$ 1.987,00
22/10/2019;427812;Curitiba;PR;Sul;FAR-1419-PR;Condomínio FAR-1419-PR;Caixa Econômica Federal;MCMV-Oferta Pública;18/02/2023;16/03/1995;Feminino;casado;Pescadores artesanais;R$ 63.609,00;R$ 41.842,00;R$ 4.788,00
18/10/2021;341960;São Paulo;SP;Sudeste;FAR-1420-SP;Residencial FAR-1420-SP;Banco do Nordeste;MCMV-FAR;25/05/2023;28/09/2002;Masculino;casado;Indigena;R$ 65.561,00;R$ 48.101,00;R$ 3.447,00
26/02/2021;971861;São Paulo;SP;Sudeste;FAR-1421-SP;Conjunto Habitacional FAR-1421-SP;Caixa Econômica Federal;MCMV-FAR;14/03/2024;07/06/1998;Feminino;casado;Quilombolas;R$ 98.906,00;R$ 40.068,00;R$ 3.916,00
17/10/2022;497323;Salvador;BA;Nordeste;FAR-1422-BA;Residencial FAR-1422-BA;Banco do Brasil;MCMV-FAR;24/01/2024;26/02/1997;Masculino;separado;Assentados do PNRA;R$ 64.406,00;R$ 40.018,00;R$ 4.588,00
10/07/2021;433986;Salvador;BA;Nordeste;FAR-1423-BA;Conjunto Habitacional FAR-1423-BA;Banco do Brasil;MCMV-FAR;22/02/2023;08/04/1992;Masculino;divorciado;Quilombolas;R$ 99.883,00;R$ 47.109,00;R$ 2.521,00
03/02/2017;258128;Rio de Janeiro;RJ;Sudeste;FAR-1424-RJ;Residencial FAR-1424-RJ;Banco do Nordeste;MCMV-Entidades;01/01/2025;19/06/1999;Masculino;casado;Assentados do PNRA;R$ 74.209,00;R$ 47.287,00;R$ 3.383,00
28/08/2017;560968;Curitiba;PR;Sul;FAR-1425-PR;Conjunto Habitacional FAR-1425-PR;Caixa Econômica Federal;MCMV-Oferta Pública;18/05/2023;19/06/1989;Masculino;casado;Extravista;R$ 93.888,00;R$ 49.602,00;R$ 1.753,00
02/05/2019;690158;São Paulo;SP;Sudeste;FAR-1426-SP;Condomínio FAR-1426-SP;Banco do Nordeste;MCMV-FAR;04/06/2023;07/12/1985;Feminino;casado;Não aplicável;R$ 96.994,00;R$ 46.334,00;R$ 2.377,00
03/01/2022;304235;Rio de Janeiro;RJ;Sudeste;FAR-1427-RJ;Conjunto Habitacional FAR-1427-RJ;Caixa Econômica Federal;MCMV-Entidades;23/05/2024;21/04/1998;Feminino;divorciado;Extravista;R$ 92.202,00;R$ 46.039,00;R$ 3.268,00
14/11/2019;299816;São Paulo;SP;Sudeste;FAR-1428-SP;Residencial FAR-1428-SP;Banco do Nordeste;MCMV-FAR;12/06/2024;24/03/1987;Masculino;separado;Quilombolas;R$ 93.798,00;R$ 42.495,00;R$ 3.110,00
20/10/2024;489389;Curitiba;PR;Sul;FAR-1429-PR;Residencial FAR-1429-PR;Banco do Brasil;MCMV-Oferta Pública;20/10/2023;02/11/1997;Masculino;viúvo;Não aplicável;R$ 68.320,00;R$ 40.481,00;R$ 3.973,00
09/07/2024;196636;Curitiba;PR;Sul;FAR-1430-PR;Conjunto Habitacional FAR-1430-PR;Caixa Econômica Federal;MCMV-Oferta Pública;30/07/2024;28/12/1996;Masculino;divorciado;Pescadores artesanais;R$ 63.279,00;R$ 44.655,00;R$ 1.577,00
23/01/2017;597061;Curitiba;PR;Sul;FAR-1431-PR;Condomínio FAR-1431-PR;Banco do Nordeste;MCMV-Oferta Pública;22/12/2024;22/03/1996;Feminino;solteiro;Quilombolas;R$ 73.056,00;R$ 41.204,00;R$ 1.880,00
08/04/2022;285675;São Paulo;SP;Sudeste;FAR-1432-SP;Condomínio FAR-1432-SP;Banco do Brasil;MCMV-FAR;01/04/2025;17/02/1996;Feminino;solteiro;Quilombolas;R$ 79.415,00;R$ 42.552,00;R$ 4.827,00
14/10/2023;946464;Salvador;BA;Nordeste;FAR-1433-BA;Condomínio FAR-1433-BA;Caixa Econômica Federal;MCMV-FAR;10/09/2024;02/06/2006;Masculino;divorciado;Quilombolas;R$ 92.531,00;R$ 40.207,00;R$ 4.115,00
20/03/2024;980732;Curitiba;PR;Sul;FAR-1434-PR;Condomínio FAR-1434-PR;Banco do Brasil;MCMV-Oferta Pública;19/03/2023;01/03/1989;Feminino;casado;Extravista;R$ 84.638,00;R$ 48.479,00;R$ 3.117,00
13/03/2022;184458;Rio de Janeiro;RJ;Sudeste;FAR-1435-RJ;Conjunto Habitacional FAR-1435-RJ;Banco do Nordeste;MCMV-Entidades;29/04/2023;14/04/1996;Masculino;separado;Outras Comunidades;R$ 83.566,00;R$ 40.084,00;R$ 1.979,00
22/08/2022;466009;Curitiba;PR;Sul;FAR-1436-PR;Conjunto Habitacional FAR-1436-PR;Banco do Brasil;MCMV-Oferta Pública;15/05/2023;11/02/1998;Feminino;casado;Quilombolas;R$ 94.755,00;R$ 48.476,00;R$ 3.604,00
13/07/2023;113920;Rio de Janeiro;RJ;Sudeste;FAR-1437-RJ;Condomínio FAR-1437-RJ;Banco do Nordeste;MCMV-Entidades;18/05/2023;17/03/1985;Masculino;divorciado;Pescadores artesanais;R$ 56.199,00;R$ 49.207,00;R$ 2.089,00
04/06/2022;754789;Curitiba;PR;Sul;FAR-1438-PR;Condomínio FAR-1438-PR;Banco do Nordeste;MCMV-Oferta Pública;31/01/2023;15/07/1996;Masculino;casado;Assentados do PNRA;R$ 87.253,00;R$ 40.085,00;R$ 4.633,00
26/02/2019;862671;São Paulo;SP;Sudeste;FAR-1439-SP;Condomínio FAR-1439-SP;Caixa Econômica Federal;MCMV-FAR;26/05/2023;26/01/1994;Feminino;solteiro;Assentados do PNRA;R$ 74.491,00;R$ 48.513,00;R$ 2.244,00
20/10/2023;909908;Salvador;BA;Nordeste;FAR-1440-BA;Condomínio FAR-1440-BA;Banco do Brasil;MCMV-FAR;29/06/2025;17/12/1986;Masculino;viúvo;Outras Comunidades;R$ 76.895,00;R$ 40.652,00;R$ 3.490,00
09/10/2022;497489;São Paulo;SP;Sudeste;FAR-1441-SP;Residencial FAR-1441-SP;Banco do Nordeste;MCMV-FAR;10/06/2025;21/09/1989;Masculino;divorciado;Extravista;R$ 71.879,00;R$ 44.966,00;R$ 3.703,00
16/04/2017;658196;Salvador;BA;Nordeste;FAR-1442-BA;Condomínio FAR-1442-BA;Banco do Nordeste;MCMV-FAR;14/04/2023;15/10/2000;Masculino;separado;Assentados do PNRA;R$ 98.172,00;R$ 48.135,00;R$ 3.828,00
15/07/2021;481056;Curitiba;PR;Sul;FAR-1443-PR;Residencial FAR-1443-PR;Caixa Econômica Federal;MCMV-Oferta Pública;13/11/2024;27/04/1989;Feminino;viúvo;Não aplicável;R$ 78.139,00;R$ 49.141,00;R$ 1.538,00
26/07/2022;597675;São Paulo;SP;Sudeste;FAR-1444-SP;Residencial FAR-1444-SP;Banco do Nordeste;MCMV-FAR;08/03/2023;02/10/2001;Feminino;separado;Indigena;R$ 60.442,00;R$ 47.203,00;R$ 4.276,00
11/07/2020;959344;Salvador;BA;Nordeste;FAR-1445-BA;Residencial FAR-1445-BA;Banco do Nordeste;MCMV-FAR;26/01/2024;08/10/1986;Feminino;divorciado;Pescadores artesanais;R$ 98.345,00;R$ 47.760,00;R$ 2.738,00
19/05/2024;551271;Salvador;BA;Nordeste;FAR-1446-BA;Conjunto Habitacional FAR-1446-BA;Banco do Brasil;MCMV-FAR;20/03/2023;22/09/1987;Feminino;casado;Quilombolas;R$ 82.316,00;R$ 40.758,00;R$ 1.680,00
17/10/2019;487663;Salvador;BA;Nordeste;FAR-1447-BA;Residencial FAR-1447-BA;Caixa Econômica Federal;MCMV-FAR;05/04/2024;08/01/1986;Feminino;divorciado;Pescadores artesanais;R$ 78.167,00;R$ 43.025,00;R$ 2.844,00
24/08/2020;678231;Salvador;BA;Nordeste;FAR-1448-BA;Condomínio FAR-1448-BA;Banco do Brasil;MCMV-FAR;28/01/2025;10/01/2003;Masculino;viúvo;Não aplicável;R$ 84.642,00;R$ 40.536,00;R$ 3.553,00
01/06/2024;944010;Salvador;BA;Nordeste;FAR-1449-BA;Residencial FAR-1449-BA;Banco do Nordeste;MCMV-FAR;11/05/2023;05/08/1989;Masculino;solteiro;Indigena;R$ 70.356,00;R$ 48.717,00;R$ 1.354,00
02/09/2017;228788;Rio de Janeiro;RJ;Sudeste;FAR-1450-RJ;Condomínio FAR-1450-RJ;Banco do Brasil;MCMV-Entidades;02/02/2024;27/01/1992;Feminino;casado;Extravista;R$ 62.495,00;R$ 41.678,00;R$ 2.939,00
09/02/2018;924964;Curitiba;PR;Sul;FAR-1451-PR;Condomínio FAR-1451-PR;Banco do Brasil;MCMV-Oferta Pública;27/10/2024;05/04/1991;Masculino;casado;Assentados do PNRA;R$ 87.388,00;R$ 42.161,00;R$ 3.220,00
21/11/2019;648701;Rio de Janeiro;RJ;Sudeste;FAR-1452-RJ;Residencial FAR-1452-RJ;Caixa Econômica Federal;MCMV-Entidades;05/01/2023;23/01/1992;Masculino;separado;Quilombolas;R$ 60.949,00;R$ 40.680,00;R$ 2.294,00
09/07/2018;740897;Curitiba;PR;Sul;FAR-1453-PR;Conjunto Habitacional FAR-1453-PR;Caixa Econômica Federal;MCMV-Oferta Pública;28/11/2023;24/02/2005;Masculino;divorciado;Quilombolas;R$ 88.894,00;R$ 47.060,00;R$ 3.520,00
14/10/2019;680598;São Paulo;SP;Sudeste;FAR-1454-SP;Condomínio FAR-1454-SP;Banco do Nordeste;MCMV-FAR;09/12/2023;22/04/1989;Masculino;casado;Extravista;R$ 95.803,00;R$ 47.538,00;R$ 1.328,00
11/11/2020;539942;Curitiba;PR;Sul;FAR-1455-PR;Conjunto Habitacional FAR-1455-PR;Banco do Brasil;MCMV-Oferta Pública;27/05/2024;20/04/1994;Feminino;divorciado;Quilombolas;R$ 84.388,00;R$ 48.437,00;R$ 4.618,00
15/08/2020;591901;São Paulo;SP;Sudeste;FAR-1456-SP;Condomínio FAR-1456-SP;Banco do Nordeste;MCMV-FAR;05/04/2024;03/05/1999;Feminino;viúvo;Outras Comunidades;R$ 65.528,00;R$ 44.360,00;R$ 1.913,00
11/04/2023;726923;São Paulo;SP;Sudeste;FAR-1457-SP;Condomínio FAR-1457-SP;Banco do Nordeste;MCMV-FAR;09/10/2023;19/09/1995;Masculino;solteiro;Assentados do PNRA;R$ 84.661,00;R$ 47.490,00;R$ 4.131,00
19/06/2018;825847;Rio de Janeiro;RJ;Sudeste;FAR-1458-RJ;Condomínio FAR-1458-RJ;Banco do Nordeste;MCMV-Entidades;12/03/2023;05/06/2001;Masculino;solteiro;Extravista;R$ 67.440,00;R$ 48.604,00;R$ 2.264,00
18/09/2021;658074;Salvador;BA;Nordeste;FAR-1459-BA;Condomínio FAR-1459-BA;Caixa Econômica Federal;MCMV-FAR;05/04/2025;21/10/2005;Masculino;casado;Extravista;R$ 70.414,00;R$ 47.874,00;R$ 2.498,00
15/12/2018;989773;Salvador;BA;Nordeste;FAR-1460-BA;Conjunto Habitacional FAR-1460-BA;Banco do Nordeste;MCMV-FAR;04/08/2024;19/02/1986;Feminino;viúvo;Quilombolas;R$ 82.010,00;R$ 43.670,00;R$ 1.538,00
21/01/2020;124040;Salvador;BA;Nordeste;FAR-1461-BA;Residencial FAR-1461-BA;Banco do Brasil;MCMV-FAR;06/05/2023;18/03/1989;Masculino;solteiro;Indigena;R$ 95.536,00;R$ 42.424,00;R$ 2.993,00
08/07/2021;763321;Rio de Janeiro;RJ;Sudeste;FAR-1462-RJ;Conjunto Habitacional FAR-1462-RJ;Banco do Nordeste;MCMV-Entidades;09/09/2023;01/10/1989;Masculino;divorciado;Outras Comunidades;R$ 76.397,00;R$ 44.669,00;R$ 4.747,00
05/10/2022;205102;Curitiba;PR;Sul;FAR-1463-PR;Conjunto Habitacional FAR-1463-PR;Banco do Nordeste;MCMV-Oferta Pública;19/01/2024;15/01/2000;Masculino;separado;Outras Comunidades;R$ 94.058,00;R$ 44.788,00;R$ 2.714,00
07/01/2024;965154;São Paulo;SP;Sudeste;FAR-1464-SP;Conjunto Habitacional FAR-1464-SP;Banco do Brasil;MCMV-FAR;16/09/2023;12/01/1984;Masculino;casado;Indigena;R$ 79.074,00;R$ 40.046,00;R$ 2.692,00
19/08/2022;260068;Salvador;BA;Nordeste;FAR-1465-BA;Residencial FAR-1465-BA;Banco do Nordeste;MCMV-FAR;04/03/2025;19/02/2002;Masculino;casado;Assentados do PNRA;R$ 89.495,00;R$ 49.062,00;R$ 3.584,00
17/01/2024;160321;Curitiba;PR;Sul;FAR-1466-PR;Condomínio FAR-1466-PR;Banco do Brasil;MCMV-Oferta Pública;06/07/2024;07/04/1985;Feminino;separado;Indigena;R$ 76.996,00;R$ 49.967,00;R$ 2.415,00
25/04/2019;601018;Curitiba;PR;Sul;FAR-1467-PR;Residencial FAR-1467-PR;Caixa Econômica Federal;MCMV-Oferta Pública;12/05/2025;20/02/1999;Masculino;casado;Assentados do PNRA;R$ 69.551,00;R$ 46.223,00;R$ 4.046,00
23/03/2017;517647;Salvador;BA;Nordeste;FAR-1468-BA;Residencial FAR-1468-BA;Banco do Nordeste;MCMV-FAR;25/07/2023;11/07/1997;Feminino;viúvo;Outras Comunidades;R$ 56.329,00;R$ 46.767,00;R$ 1.344,00
22/12/2024;966446;Curitiba;PR;Sul;FAR-1469-PR;Conjunto Habitacional FAR-1469-PR;Banco do Brasil;MCMV-Oferta Pública;06/09/2023;23/09/1986;Feminino;divorciado;Outras Comunidades;R$ 96.176,00;R$ 48.271,00;R$ 4.861,00
14/05/2024;498676;Salvador;BA;Nordeste;FAR-1470-BA;Conjunto Habitacional FAR-1470-BA;Banco do Brasil;MCMV-FAR;15/06/2024;15/06/1986;Feminino;casado;Quilombolas;R$ 95.821,00;R$ 44.570,00;R$ 4.957,00
21/07/2019;977517;Rio de Janeiro;RJ;Sudeste;FAR-1471-RJ;Conjunto Habitacional FAR-1471-RJ;Banco do Nordeste;MCMV-Entidades;01/01/2023;14/06/1984;Masculino;separado;Não aplicável;R$ 66.692,00;R$ 42.208,00;R$ 4.885,00
12/01/2017;631161;Curitiba;PR;Sul;FAR-1472-PR;Conjunto Habitacional FAR-1472-PR;Banco do Nordeste;MCMV-Oferta Pública;14/04/2023;23/05/2003;Masculino;casado;Não aplicável;R$ 79.916,00;R$ 43.792,00;R$ 3.864,00
19/05/2021;346127;Salvador;BA;Nordeste;FAR-1473-BA;Conjunto Habitacional FAR-1473-BA;Banco do Nordeste;MCMV-FAR;18/09/2023;09/05/2001;Masculino;separado;Não aplicável;R$ 78.602,00;R$ 47.252,00;R$ 1.923,00
03/11/2019;597547;Curitiba;PR;Sul;FAR-1474-PR;Conjunto Habitacional FAR-1474-PR;Banco do Brasil;MCMV-Oferta Pública;12/05/2023;01/07/1992;Feminino;separado;Extravista;R$ 73.400,00;R$ 40.832,00;R$ 2.552,00
19/06/2022;922787;São Paulo;SP;Sudeste;FAR-1475-SP;Condomínio FAR-1475-SP;Banco do Nordeste;MCMV-FAR;29/10/2024;01/10/1990;Masculino;solteiro;Extravista;R$ 87.603,00;R$ 40.358,00;R$ 1.812,00
04/07/2018;967870;São Paulo;SP;Sudeste;FAR-1476-SP;Residencial FAR-1476-SP;Banco do Nordeste;MCMV-FAR;30/09/2024;02/10/2001;Feminino;solteiro;Quilombolas;R$ 88.834,00;R$ 40.972,00;R$ 2.977,00
01/04/2022;209294;Rio de Janeiro;RJ;Sudeste;FAR-1477-RJ;Residencial FAR-1477-RJ;Banco do Nordeste;MCMV-Entidades;14/09/2023;13/06/2005;Feminino;divorciado;Indigena;R$ 93.039,00;R$ 41.723,00;R$ 2.200,00
09/07/2018;827661;Salvador;BA;Nordeste;FAR-1478-BA;Condomínio FAR-1478-BA;Banco do Nordeste;MCMV-FAR;14/01/2024;03/02/1998;Feminino;casado;Outras Comunidades;R$ 62.960,00;R$ 47.750,00;R$ 4.091,00
24/01/2023;816394;São Paulo;SP;Sudeste;FAR-1479-SP;Condomínio FAR-1479-SP;Banco do Brasil;MCMV-FAR;20/05/2023;02/06/1992;Masculino;separado;Indigena;R$ 95.272,00;R$ 48.322,00;R$ 1.823,00
27/05/2018;289708;Salvador;BA;Nordeste;FAR-1480-BA;Residencial FAR-1480-BA;Banco do Nordeste;MCMV-FAR;04/09/2024;11/08/1986;Feminino;viúvo;Outras Comunidades;R$ 89.414,00;R$ 49.455,00;R$ 4.045,00
01/11/2017;661966;Curitiba;PR;Sul;FAR-1481-PR;Residencial FAR-1481-PR;Banco do Brasil;MCMV-Oferta Pública;18/01/2025;03/03/1988;Feminino;casado;Outras Comunidades;R$ 77.133,00;R$ 48.779,00;R$ 4.457,00
20/12/2023;631535;Rio de Janeiro;RJ;Sudeste;FAR-1482-RJ;Condomínio FAR-1482-RJ;Caixa Econômica Federal;MCMV-Entidades;13/10/2023;19/01/1997;Masculino;divorciado;Não aplicável;R$ 96.838,00;R$ 41.125,00;R$ 3.919,00
04/05/2018;568943;São Paulo;SP;Sudeste;FAR-1483-SP;Condomínio FAR-1483-SP;Banco do Brasil;MCMV-FAR;22/02/2023;20/03/1994;Masculino;separado;Pescadores artesanais;R$ 58.479,00;R$ 49.127,00;R$ 3.389,00
07/10/2020;968946;São Paulo;SP;Sudeste;FAR-1484-SP;Conjunto Habitacional FAR-1484-SP;Banco do Nordeste;MCMV-FAR;14/02/2023;11/07/1999;Feminino;solteiro;Indigena;R$ 95.936,00;R$ 44.905,00;R$ 1.372,00
18/03/2023;773379;Curitiba;PR;Sul;FAR-1485-PR;Conjunto Habitacional FAR-1485-PR;Banco do Nordeste;MCMV-Oferta Pública;21/01/2023;18/06/2002;Masculino;divorciado;Não aplicável;R$ 53.519,00;R$ 40.405,00;R$ 3.938,00
28/06/2019;146232;Curitiba;PR;Sul;FAR-1486-PR;Residencial FAR-1486-PR;Banco do Nordeste;MCMV-Oferta Pública;02/10/2023;04/09/1986;Masculino;divorciado;Não aplicável;R$ 60.880,00;R$ 46.823,00;R$ 3.811,00
20/05/2021;959429;Rio de Janeiro;RJ;Sudeste;FAR-1487-RJ;Condomínio FAR-1487-RJ;Caixa Econômica Federal;MCMV-Entidades;16/08/2023;28/08/1998;Feminino;viúvo;Extravista;R$ 57.174,00;R$ 42.970,00;R$ 4.120,00
20/02/2019;725834;Salvador;BA;Nordeste;FAR-1488-BA;Conjunto Habitacional FAR-1488-BA;Banco do Nordeste;MCMV-FAR;17/04/2023;22/09/1986;Feminino;separado;Extravista;R$ 55.051,00;R$ 42.775,00;R$ 2.982,00
19/11/2020;755608;São Paulo;SP;Sudeste;FAR-1489-SP;Condomínio FAR-1489-SP;Banco do Brasil;MCMV-FAR;04/07/2023;08/10/2004;Masculino;separado;Pescadores artesanais;R$ 97.271,00;R$ 44.220,00;R$ 2.097,00
25/12/2018;748118;Salvador;BA;Nordeste;FAR-1490-BA;Residencial FAR-1490-BA;Banco do Nordeste;MCMV-FAR;16/03/2025;16/09/2000;Masculino;separado;Extravista;R$ 52.414,00;R$ 46.990,00;R$ 2.497,00
15/03/2020;594367;São Paulo;SP;Sudeste;FAR-1491-SP;Residencial FAR-1491-SP;Caixa Econômica Federal;MCMV-FAR;03/06/2025;16/05/2001;Feminino;solteiro;Não aplicável;R$ 93.708,00;R$ 46.896,00;R$ 3.107,00
09/01/2018;804074;Rio de Janeiro;RJ;Sudeste;FAR-1492-RJ;Conjunto Habitacional FAR-1492-RJ;Banco do Nordeste;MCMV-Entidades;17/02/2023;15/02/2003;Masculino;solteiro;Quilombolas;R$ 87.272,00;R$ 44.195,00;R$ 2.823,00
18/03/2023;792428;Salvador;BA;Nordeste;FAR-1493-BA;Residencial FAR-1493-BA;Banco do Brasil;MCMV-FAR;25/10/2023;16/12/1997;Masculino;viúvo;Quilombolas;R$ 99.563,00;R$ 48.164,00;R$ 3.025,00
14/10/2021;395692;Salvador;BA;Nordeste;FAR-1494-BA;Condomínio FAR-1494-BA;Banco do Brasil;MCMV-FAR;03/10/2024;16/04/1996;Masculino;separado;Indigena;R$ 59.517,00;R$ 41.986,00;R$ 4.672,00
08/07/2017;202086;Curitiba;PR;Sul;FAR-1495-PR;Conjunto Habitacional FAR-1495-PR;Banco do Nordeste;MCMV-Oferta Pública;14/10/2023;12/01/2000;Feminino;casado;Indigena;R$ 86.740,00;R$ 47.726,00;R$ 1.427,00
03/06/2018;102625;São Paulo;SP;Sudeste;FAR-1496-SP;Condomínio FAR-1496-SP;Banco do Brasil;MCMV-FAR;26/07/2024;17/07/2001;Masculino;viúvo;Indigena;R$ 83.031,00;R$ 47.222,00;R$ 2.078,00
24/12/2022;350184;Rio de Janeiro;RJ;Sudeste;FAR-1497-RJ;Residencial FAR-1497-RJ;Banco do Nordeste;MCMV-Entidades;28/02/2024;10/07/1993;Feminino;casado;Indigena;R$ 56.454,00;R$ 48.646,00;R$ 2.656,00
16/04/2022;286628;Salvador;BA;Nordeste;FAR-1498-BA;Condomínio FAR-1498-BA;Banco do Nordeste;MCMV-FAR;22/01/2024;17/11/2006;Feminino;viúvo;Assentados do PNRA;R$ 75.663,00;R$ 44.570,00;R$ 3.275,00
21/10/2023;289744;Salvador;BA;Nordeste;FAR-1499-BA;Conjunto Habitacional FAR-1499-BA;Caixa Econômica Federal;MCMV-FAR;29/08/2023;23/01/1991;Masculino;solteiro;Quilombolas;R$ 76.825,00;R$ 40.968,00;R$ 3.165,00
11/03/2024;799651;Curitiba;PR;Sul;FAR-1500-PR;Condomínio FAR-1500-PR;Banco do Nordeste;MCMV-Oferta Pública;26/06/2023;09/11/2000;Masculino;separado;Pescadores artesanais;R$ 76.244,00;R$ 49.795,00;R$ 1.356,00
13/03/2024;623377;Curitiba;PR;Sul;FAR-1501-PR;Residencial FAR-1501-PR;Banco do Nordeste;MCMV-Oferta Pública;17/08/2024;05/01/1986;Feminino;viúvo;Outras Comunidades;R$ 82.026,00;R$ 43.956,00;R$ 4.059,00
22/02/2023;170145;Rio de Janeiro;RJ;Sudeste;FAR-1502-RJ;Residencial FAR-1502-RJ;Banco do Nordeste;MCMV-Entidades;20/11/2023;12/12/2005;Feminino;viúvo;Assentados do PNRA;R$ 83.067,00;R$ 42.267,00;R$ 3.084,00
23/06/2022;126299;Salvador;BA;Nordeste;FAR-1503-BA;Residencial FAR-1503-BA;Banco do Brasil;MCMV-FAR;20/01/2024;17/07/1996;Feminino;viúvo;Quilombolas;R$ 55.501,00;R$ 45.867,00;R$ 2.114,00
28/10/2021;259744;Salvador;BA;Nordeste;FAR-1504-BA;Condomínio FAR-1504-BA;Banco do Nordeste;MCMV-FAR;24/11/2024;01/04/1995;Masculino;solteiro;Outras Comunidades;R$ 53.964,00;R$ 49.322,00;R$ 3.449,00
23/11/2023;111393;São Paulo;SP;Sudeste;FAR-1505-SP;Conjunto Habitacional FAR-1505-SP;Banco do Brasil;MCMV-FAR;02/08/2023;14/04/1999;Masculino;divorciado;Outras Comunidades;R$ 98.317,00;R$ 49.886,00;R$ 3.978,00
19/03/2018;469545;Curitiba;PR;Sul;FAR-1506-PR;Condomínio FAR-1506-PR;Banco do Brasil;MCMV-Oferta Pública;15/04/2023;25/08/1997;Masculino;viúvo;Extravista;R$ 76.796,00;R$ 49.069,00;R$ 2.188,00
15/09/2018;246910;Curitiba;PR;Sul;FAR-1507-PR;Residencial FAR-1507-PR;Banco do Nordeste;MCMV-Oferta Pública;03/10/2024;02/06/1989;Masculino;viúvo;Outras Comunidades;R$ 57.932,00;R$ 45.511,00;R$ 3.725,00
04/04/2024;685526;Rio de Janeiro;RJ;Sudeste;FAR-1508-RJ;Conjunto Habitacional FAR-1508-RJ;Caixa Econômica Federal;MCMV-Entidades;10/04/2023;19/12/2003;Masculino;casado;Quilombolas;R$ 78.066,00;R$ 40.785,00;R$ 4.961,00
03/06/2018;404482;Salvador;BA;Nordeste;FAR-1509-BA;Condomínio FAR-1509-BA;Banco do Nordeste;MCMV-FAR;29/06/2023;10/07/1985;Feminino;casado;Quilombolas;R$ 82.647,00;R$ 44.661,00;R$ 2.377,00
20/10/2024;319336;São Paulo;SP;Sudeste;FAR-1510-SP;Condomínio FAR-1510-SP;Banco do Nordeste;MCMV-FAR;03/06/2023;01/11/1988;Feminino;solteiro;Assentados do PNRA;R$ 69.426,00;R$ 44.873,00;R$ 3.890,00
25/02/2023;653961;Rio de Janeiro;RJ;Sudeste;FAR-1511-RJ;Condomínio FAR-1511-RJ;Caixa Econômica Federal;MCMV-Entidades;03/09/2024;18/12/1993;Masculino;solteiro;Extravista;R$ 94.765,00;R$ 46.151,00;R$ 3.045,00
08/11/2022;961598;Rio de Janeiro;RJ;Sudeste;FAR-1512-RJ;Condomínio FAR-1512-RJ;Banco do Nordeste;MCMV-Entidades;20/10/2024;02/07/2002;Feminino;separado;Outras Comunidades;R$ 97.590,00;R$ 47.221,00;R$ 4.371,00
28/10/2024;499557;Rio de Janeiro;RJ;Sudeste;FAR-1513-RJ;Conjunto Habitacional FAR-1513-RJ;Banco do Nordeste;MCMV-Entidades;26/02/2024;12/05/1987;Masculino;solteiro;Extravista;R$ 84.609,00;R$ 46.613,00;R$ 2.926,00
24/06/2022;522410;Salvador;BA;Nordeste;FAR-1514-BA;Residencial FAR-1514-BA;Banco do Nordeste;MCMV-FAR;10/05/2025;04/04/1985;Feminino;viúvo;Indigena;R$ 92.163,00;R$ 44.995,00;R$ 2.250,00
20/07/2024;911795;Curitiba;PR;Sul;FAR-1515-PR;Condomínio FAR-1515-PR;Banco do Nordeste;MCMV-Oferta Pública;04/08/2023;19/02/1998;Masculino;viúvo;Assentados do PNRA;R$ 87.591,00;R$ 47.794,00;R$ 3.073,00
